Community number     Modularity      Number of edges cuts        Time took
2.000000             0.021510              1178.000000            14.036802 
3.000000             0.176069              4167.000000            56.664241 
4.000000             0.228923              7468.000000            56.355223 
5.000000             0.215205              6368.000000            57.114267 
6.000000             0.441119              9140.000000            41.318363 
7.000000             0.403688              8330.000000            140.422031 
8.000000             0.383036              17065.000000            163.556355 
9.000000             0.296736              10724.000000            85.734903 
10.000000             0.385369              13551.000000            64.557693 
